id,domain_name,is_malicious,first_seen,last_seen,organization_id
341,42a9687b.top,1,,,8
342,227408be.site,1,,,8
343,5bb2593a.top,1,,,8
344,d9fc6eb8.site,1,,,8
345,49437329.site,1,,,8
346,3e4443bf.site,1,,,8
347,69843bb8.top,1,,,8
348,a74d1205.site,1,,,8
349,709f0af9.top,1,,,8
350,801c16eb.top,1,,,8
351,07840a24.space,1,,,8
352,1e9f3b65.top,1,,,8
353,8bb28844.top,1,,,8
354,35b268a6.space,1,,,8
355,1e9f3b65.space,1,,,8
356,8bb28844.space,1,,,8
357,801c16eb.space,1,,,8
358,07840a24.top,1,,,8
359,35b268a6.top,1,,,8
360,box4055.net,1,,,8
361,box4090.net,1,,,8
362,box4072.net,1,,,8
363,2fe55007.xyz,1,,,8
364,884896da.privatedns.org,1,,,8
365,2d15f920.privatedns.org,1,,,8
366,62546fe7.privatedns.org,1,,,8
367,8b9d781a.xyz,1,,,8
368,b6ec01bd.xyz,1,,,8
369,5dad7614.xyz,1,,,8
370,c1eb312b.xyz,1,,,8
371,58e26091.xyz,1,,,8
372,b4ced321.xyz,1,,,8
373,c3c9e3b7.xyz,1,,,8
374,5ac0b20d.xyz,1,,,8
375,2dc7829b.xyz,1,,,8
376,5b02d83a.xyz,1,,,8
377,cbbdc5ab.xyz,1,,,8
378,ee4b1e5a.xyz,1,,,8
379,00457f76.xyz,1,,,8
380,0203c12f.xyz,1,,,8
381,www.moltqana.com,1,,,9
382,egchaat.com,1,,,9
383,voly.ddns.ne,1,,,9
384,www.synologyupdates.com,1,,,10
385,www.babmaftuh.com,1,,,10
386,www2.uaefinance.org,1,,,10
387,www.alwatantrade.com,1,,,10
388,www.shayalyawm.com,1,,,10
389,notify.growlupdate.com,1,,,10
390,wnupdnew.com,1,,,10
391,srv18.banner-add.com,1,,,10
392,mslove.mypressonline.com,1,,,12
393,mmksba100.linkpc.net,1,,,12
394,garant-help.com,1,,,12
395,formore.for-more.biz,1,,,12
396,martnews.aba.ae,1,,,12
397,adamnews.for.ug,1,,,12
398,israanews.zz.com.ve,1,,,12
399,mmksba.simple-url.com,1,,,12
400,mmksba.dyndns.org,1,,,12
401,fateh.aba.ae,1,,,12
402,taskandpurpose.icu,1,,,12
403,pesthacks.icu,1,,,13
404,sweetgeorgiayarns.online,1,,,13
405,punandjokes.icu,1,,,13
406,curseforge.icu,1,,,13
407,medpagetoday.icu,1,,,13
408,kitchengardenseeds.icu,1,,,13
409,pigglywigglystores.shop,1,,,13
410,sciencealert.shop,1,,,13
411,americandeliriumsociety.shop,1,,,13
412,everythingandthedog.shop,1,,,13
413,lansdownecentre.shop,1,,,13
414,medicalnewstoday.shop,1,,,13
415,ikitas.shop,1,,,13
416,moonlightmixes.shop,1,,,13
417,penandthepad.shop,1,,,13
418,utahsadventurefamily.shop,1,,,13
419,connecticutchildrens.shop,1,,,13
420,foampartyhats.shop,1,,,13
421,eartheclipse.shop,1,,,13
422,bryndonovan.shop,1,,,13
423,chaptercheats.shop,1,,,13
424,physio-pedia.shop,1,,,13
425,clairedeco.shop,1,,,13
426,kingarthurbaking.shop,1,,,13
427,twisterplussize.shop,1,,,13
428,lauramcinerney.shop,1,,,13
429,empoweringparents.shop,1,,,13
430,simonandschuster.shop,1,,,13
431,bourns.space,1,,,13
432,yotsubasociety.website,1,,,13
433,walidacja-konta.space,1,,,13
434,interia.sprawdzanie-konta.space,1,,,13
435,kontrola-bezpieczenstwa.website,1,,,13
436,poczta.kontrola-bezpieczenstwa.site,1,,,13
437,hmgo.pw,1,,,13
438,ao3.hmgo.pw,1,,,13
439,2ld.xyz,1,,,14
440,the-haba.com,1,,,14
441,nic.mywire.org,1,,,14
442,safebrowsing.gleeze.com,1,,,14
443,wlsts.net,1,,,14
444,updatecloud.sytes.net,1,,,14
445,update.xn,1,,,14
446,upd.re,1,,,14
447,time.servehttp.com,1,,,14
448,statad.de,1,,,14
449,webmail.uatoday.website,1,,,15
450,cdrcb.com.uatoday.website,1,,,15
451,uatoday.website,1,,,15
452,24ua.website,1,,,15
453,cdn1186.site,1,,,15
454,sinoptik.website,1,,,15
455,depo.host,1,,,15
456,w0x.host,1,,,15
457,mytv.host,1,,,15
458,inforesist.press,1,,,15
459,rst.website,1,,,15
460,windowsupdate.kiev.ua,1,,,15
461,olx.website,1,,,15
462,news24ua.info,1,,,15
463,novaposhta.website,1,,,15
464,akamainet067.info,1,,,15
465,www.163provider.com,1,,,17
466,www.163mailcenter.net,1,,,17
467,webdisk.ai-module-certification.com,1,,,17
468,taikang.com.ai-module-certification.com,1,,,17
469,mail.ai-module-certification.com,1,,,17
470,webmail.ai-module-certification.com,1,,,17
471,mail.safetymodule-check.com,1,,,17
472,webmail.safetymodule-check.com,1,,,17
473,www.safetymodule-check.com,1,,,17
474,webdisk.safetymodule-check.com,1,,,17
475,163provider.com,1,,,17
476,mail163.netaese.net,1,,,17
477,tokyouni.beginner.curriculum.enc2global.com,1,,,17
478,club.mail.sina.com.cn.plugin-verification.com,1,,,17
479,www.attachment-download.netease-service.com,1,,,17
480,ai-module-certification.com,1,,,17
481,safetymodule-check.com,1,,,17
482,verify-server.neteasemail.safetymodule-check.com,1,,,17
483,www.attachment-download.netease-service.comclub.mail.sina.com.cn.plugin-verification.comtokyouni.beginner.curriculum.enc2global.comemail-smtp-protocol-update-notification.safetymodule-check.com,1,,,17
484,test.enc2global.com,1,,,17
485,email-smtp-protocol-update-notification.safetymodule-check.com,1,,,17
486,authentication-services.zzux.com,1,,,17
487,www.caac-cn.org,1,,,18
488,wwww.caac-cn.org,1,,,18
489,hrbeu.edu.cn.360urlscan.com,1,,,18
490,uiudismart-gateway.pku.edu.cn.360urlscan.com,1,,,18
491,huwycsmart-gateway.pku.edu.cn.360urlscan.com,1,,,18
492,www.360urlscan.com,1,,,18
493,www.caac-cn.com,1,,,18
494,vip.webemail163.com,1,,,18
495,mail.webemail163.com,1,,,18
496,test.cube-163.com,1,,,18
497,mail.csrc-prc.org,1,,,18
498,www.afuaty126.com,1,,,18
499,www.dutiaor126.com,1,,,18
500,www.ideoaer126.net,1,,,18
501,ww12.ideoaer126.net,1,,,18
502,www.edu-cn.co,1,,,18
503,zz-mgmt-as.edu-cn.co,1,,,18
504,www.humu.edu-cn.co,1,,,18
505,mails.tsinghua.edu-cn.co,1,,,18
506,www.aertuky126.com,1,,,18
507,www.rec126mail.com,1,,,18
508,www.hwu163.com,1,,,18
509,www.linkshop163.com,1,,,18
510,apps.lirnkmail163.com,1,,,18
511,remote.lirnkmail163.com,1,,,18
512,agent.lirnkmail163.com,1,,,18
513,www.lirnkmail163.com,1,,,18
514,www.actoreyeah126.com,1,,,18
515,www.www.airsation188.com,1,,,18
516,www.airsation188.com,1,,,18
517,www.hwmailyeah.net,1,,,18
518,1.new126.com,1,,,18
519,mail.new126.com,1,,,18
520,www.shop.new126.com,1,,,18
521,www.new126.com,1,,,18
522,www.hwt163.com,1,,,18
523,www.tghu126.com,1,,,18
524,www.www.hwimail163.com,1,,,18
525,www.hwimail163.com,1,,,18
526,www.g0v.cq.cn,1,,,18
527,ns2.g0v.cq.cn,1,,,18
528,webmail.send-mailbox.online,1,,,18
529,linkin.send-mailbox.online,1,,,18
530,pplogin.send-mailbox.online,1,,,18
531,www.send-mailbox.online,1,,,18
532,www.www.checkon-163.com,1,,,18
533,www.checkon-163.com,1,,,18
534,m.checkon-163.com,1,,,18
535,filedownload.count-ly-attach-163.com,1,,,18
536,www.count-ly-attach-163.com,1,,,18
537,consi.count-ly-attach-163.com,1,,,18
538,webmail.mraden.com,1,,,18
539,smtp.mraden.com,1,,,18
540,imap.mraden.com,1,,,18
541,wwww.mraden.com,1,,,18
542,www.chlnacdmail.com,1,,,18
543,mail.sina.cn.filesweb.site,1,,,18
544,www.filesweb.site,1,,,18
545,mailin.clouddrive.space,1,,,18
546,my.clouddrive.space,1,,,18
547,hostmaster.clouddrive.space,1,,,18
548,www.clouddrive.space,1,,,18
549,www.impotion.site,1,,,18
550,qiyebj.email.recertifiid.com,1,,,18
551,emiqiye.email.recertifiid.com,1,,,18
552,www.recertifiid.com,1,,,18
553,www.fastzonemail.com,1,,,18
554,www.count126.com,1,,,18
555,woodman.hwe163.com,1,,,18
556,webmail.hwe163.com,1,,,18
557,www.hwe163.com,1,,,18
558,www.zgcb.website,1,,,18
559,aaa.zgcb.website,1,,,18
560,webmail.email-box-sina.com,1,,,18
561,www.email-box-sina.com,1,,,18
562,www.mailbox-sohu.com,1,,,18
563,webmail.mailbox-sohu.com,1,,,18
564,webmail.mail-box-sina.com,1,,,18
565,www.mail-box-sina.com,1,,,18
566,www.hw-l26.com,1,,,18
567,webmail.hw-l26.com,1,,,18
568,www.hw-mail-l26.com,1,,,18
569,webmail.hw-mail-l26.com,1,,,18
570,www.email-box-qq.com,1,,,18
571,webmail.email-box-qq.com,1,,,18
572,www.mail-l26.com,1,,,18
